Nazwa Gminy; Liczba Hexagonów
Warlubie;6;42;305;2148;15080
Gostycyn;5;30;207;1443;10102
Biała Podlaska;13;89;621;4348;30493
Wisznice;3;35;248;1766;12347
Sławatycze;3;17;106;745;5189
Piszczac;5;34;250;1760;12306
Rossosz;2;17;114;786;5514
Buczek;3;20;134;937;6545
Zaręby Kościelne;3;20;136;931;6503
Józefów;0;3;32;240;1695
Celestynów;2;18;127;898;6298
Kuczbork-Osada;3;26;186;1289;9012
Puszcza Mariańska;5;29;214;1483;10317
Choroszcz;5;33;245;1706;11963
Tuchola;9;51;365;2567;17952
Chodecz;3;25;185;1279;8909
Goraj;2;13;94;645;4544
Turobin;4;33;231;1628;11367
Santok;5;38;256;1798;12571
Gubin;12;79;572;3985;27875
Gubin;0;5;25;177;1230
Bytnica;6;43;311;2174;15223
Witonia;3;14;91;614;4307
Lesznowola;2;16;101;721;5035
Bodzanów;4;30;202;1413;9916
Chmielnik;1;12;75;529;3687
Trzebownisko;3;16;121;881;6169
Łapy;5;29;193;1338;9315
Poświętne;3;23;169;1183;8268
Lubraniec;3;32;224;1553;10899
Częstochowa;5;35;232;1599;11214
Międzyrzecz;10;68;473;3298;23097
Bytom Odrzański;2;10;78;537;3761
Ośno Lubuskie;4;40;295;2091;14622
Rzgów;2;16;98;688;4832
Paradyż;2;17;115;826;5785
Opoczno;6;37;272;1915;13369
Sławno;3;25;189;1317;9223
Załuski;3;24;167;1151;8043
Gogolin;3;21;142;1021;7135
Zdzieszowice;1;12;82;562;3917
Przemków;2;22;159;1086;7566
Borów;3;23;147;1005;7011
Jasienica;2;17;130;918;6427
Wilamowice;1;12;81;568;3953
Werbkowice;6;36;268;1856;13024
Dzwola;5;43;288;2012;14023
Fajsławice;2;14;102;707;4956
Słubice;4;40;274;1936;13559
Zwierzyn;3;22;154;1081;7568
Słońsk;5;35;240;1682;11764
Rząśnia;3;17;127;863;6075
Pruszków;1;5;25;190;1333
Wiśniowa;2;16;115;794;5549
Hajnówka;11;70;500;3479;24347
Jaworzyna Śląska;1;12;95;677;4765
Dębowiec;1;9;58;413;2889
Annopol;5;29;209;1486;10422
Gorzków;3;21;139;971;6790
Rudnik;2;17;125;893;6268
Skąpe;6;41;272;1913;13367
Łagów;5;43;297;2077;14557
Bojadła;3;25;157;1089;7647
Babimost;2;18;133;946;6618
Czarnocin;3;16;106;741;5156
Moszczenica;3;25;159;1131;7921
Rozprza;5;34;240;1668;11690
Poddębice;7;46;331;2310;16154
Borkowice;1;18;123;854;6038
Klwów;3;17;121;855;6031
Rusinów;3;17;117;836;5841
Dobrodzień;6;33;229;1624;11375
Iwkowa;2;10;64;445;3137
Mońki;6;35;243;1728;12066
Boguszów-Gorce;1;4;36;264;1837
Kamienica Polska;1;11;68;481;3352
Michów;4;27;193;1361;9535
Ostrówek;2;18;132;916;6380
Czerwieńsk;7;40;290;2039;14260
Gomunice;2;15;90;631;4440
Lgota Wielka;2;14;92;641;4483
Radomsko;0;0;0;0;0
Jastrzębia;2;19;129;896;6299
Ozimek;4;27;182;1270;8913
Babice;1;11;76;529;3705
Mędrzechów;2;8;61;429;3029
Perlejewo;4;23;157;1109;7759
Wołów;9;71;481;3368;23554
Długołęka;7;47;305;2167;15181
Krzęcin;5;29;209;1466;10295
Czarna Dąbrówka;10;69;467;3262;22792
Brąszewice;3;21;156;1085;7603
Wolanów;1;18;123;843;5906
Mordy;4;35;247;1754;12348
Siedlce;7;43;300;2058;14331
Leśnica;3;19;137;933;6590
Ujazd;2;17;114;815;5701
Zawadzkie;2;17;117;816;5741
Biecz;4;20;135;954;6695
Puńsk;5;32;218;1506;10624
Kuźnica;6;28;200;1412;9906
Sidra;6;38;266;1859;13001
Stoczek Łukowski;0;2;13;93;649
Debrzno;8;50;350;2413;16852
Głuchów;3;23;159;1132;7913
Zawidz;5;39;273;1912;13416
Sokołów Podlaski;0;3;25;165;1176
Skarbimierz;3;26;157;1109;7709
Jasienica Rosielna;1;13;80;545;3798
Czarna;4;38;262;1816;12716
Liszki;3;15;104;714;4985
Sokółka;9;68;474;3297;23092
Suwałki;8;59;407;2833;19796
Klukowo;3;25;182;1287;8986
Milanów;4;23;168;1188;8317
Inowłódz;2;19;134;958;6744
Lubochnia;4;26;190;1341;9377
Sterdyń;3;26;192;1359;9515
Sochaczew;1;5;42;277;1929
Iłów;5;28;194;1347;9423
Sochaczew;0;0;0;0;0
Teresin;2;19;127;894;6259
Jarosław;0;0;0;0;0
Limanowa;1;3;27;180;1266
Słopnice;1;11;84;561;3917
Dąbrowa Chełmińska;4;28;190;1322;9250
Solec Kujawski;5;38;262;1838;12893
Ciechocin;3;22;151;1072;7507
Radomin;2;18;122;833;5860
Świerzno;4;29;219;1513;10614
Chojna;10;72;509;3568;24935
Żychlin;2;16;111;796;5573
Bedlno;4;25;186;1288;9025
Bielawa;1;6;50;349;2453
Ryńsk;6;48;334;2307;16131
Rajcza;3;29;186;1282;8945
Godów;1;8;50;363;2527
Istebna;2;16;118;831;5817
Cisna;7;55;391;2752;19231
Lutowiska;13;94;655;4555;31911
Mrozy;5;29;211;1472;10309
Szczawnica;2;16;124;859;6029
Sękowa;6;42;273;1905;13346
Szczytna;5;27;186;1323;9267
Lewin Kłodzki;2;11;78;537;3738
Józefów nad Wisłą;4;31;205;1415;9872
Wiślica;4;24;142;1006;7059
Sanniki;2;21;140;989;6926
Jednorożec;6;48;343;2441;17143
Jasionówka;3;21;148;1028;7192
Tychy;2;17;119;837;5847
Nowe Miasto nad Wartą;5;27;176;1233;8626
Sopot;0;5;29;190;1361
Hel;0;4;34;247;1718
Krokowa;6;45;339;2380;16584
Rawa Mazowiecka;5;38;273;1935;13522
Zduńska Wola;4;24;165;1149;8026
Czerniewice;3;27;190;1313;9188
Mały Płock;4;28;212;1486;10423
Iława;11;100;715;4996;34926
Bartoszyce;15;100;684;4812;33720
Oleśnica;1;10;68;507;3532
Świerklaniec;1;7;63;451;3137
Busko-Zdrój;6;46;330;2317;16245
Chmielnik;4;28;201;1420;9939
Górno;3;17;119;843;5878
Iwaniska;3;21;149;1056;7400
Fałków;4;27;189;1326;9270
Skarżysko-Kamienna;2;14;93;654;4611
Michałów;4;23;160;1112;7798
Bodzechów;3;26;169;1192;8300
Rytwiany;4;27;181;1253;8808
Krasocin;4;40;276;1928;13479
Kielce;3;23;152;1059;7419
Młynary;6;35;249;1708;11920
Prostki;5;51;351;2449;17155
Kętrzyn;9;66;468;3257;22797
Reszel;7;40;284;1957;13672
Orneta;7;52;371;2599;18176
Olsztynek;13;85;565;3942;27638
Kiwity;5;31;224;1562;10948
Piecki;11;69;477;3337;23419
Kurzętnik;5;32;229;1599;11198
Ruciane-Nida;11;80;552;3821;26747
Biała Piska;12;91;644;4510;31524
Pisz;20;140;965;6759;47380
Miłakowo;4;35;249;1749;12214
Frombork;3;25;191;1348;9448
Górowo Iławeckie;0;1;4;20;143
Braniewo;0;3;17;119;833
