Nazwa Gminy; Liczba Hexagonów
Ustronie Morskie;165
Sianów;659
Kazimierz Dolny;166
Kurów;232
Sierakowice;525
Szadek;373
Wierzbno;240
Stromiec;380
Gołymin-Ośrodek;275
Glinojeck;391
Osiek Jasielski;123
Iwonicz-Zdrój;97
Tokarnia;158
Sułkowice;136
Łącko;290
Zagrodno;308
Złotniki Kujawskie;359
Borki;258
Kłoczew;339
Nowy Staw;312
Dmosin;248
Miastków Kościelny;205
Narol;438
Nawojowa;113
Nowy Targ;462
Pyrzyce;570
Krynice;165
Łaszczów;268
Olszanka;230
Różan;215
Czerwonka;279
Pacyna;227
Żabia Wola;249
Stary Dzików;332
Proszowice;238
Pałecznica;104
Radziemice;126
Janowice Wielkie;142
Stara Kamienica;280
Osięciny;318
Chorzów;78
Miączyn;347
Łabunie;198
Lubichowo;437
Rzewnie;282
Nowe Miasto nad Pilicą;383
Pniewy;439
Grabów nad Pilicą;295
Brzeszcze;106
Ryglice;261
Piotrków Kujawski;362
Topólka;260
Sławoborze;545
Rąbino;521
Adamów;235
Łęczyce;676
Stary Targ;382
Lipowiec Kościelny;297
Strzegowo;547
Wieczfnia Kościelna;305
Leoncin;383
Magnuszew;335
Tuszów Narodowy;195
Wietrzychowice;107
Kunice;238
Miłkowice;227
Lniano;235
Przewóz;479
Lubsko;493
Tuplice;173
Szlichtyngowa;249
Drużbice;277
Bełchatów;81
Brok;268
Rzeczniów;246
Żurawica;202
Adamówka;290
Niepołomice;218
Gdów;247
Gryfów Śląski;169
Zławieś Wielka;472
Kęsowo;298
Zarzecze;105
Boguchwała;192
Augustów;665
Dąbrowa Górnicza;441
Łukowa;326
Bobrowice;494
Bledzew;688
Przytoczna;510
Góra Świętej Małgorzaty;225
Łęczyca;22
Kiernozia;185
Góra Kalwaria;346
Piaseczno;318
Tyrawa Wołoska;146
Supraśl;461
Syców;360
Gardeja;515
Ryjewo;288
Mysłowice;146
Zabrze;188
Dubienka;210
Leśniowice;264
Żmudź;304
Tuszyn;319
Staroźreby;355
Stara Biała;284
Polska Cerekiew;133
Strzyżów;298
Tykocin;513
Orla;381
Chocianów;572
Strzelin;417
Przeworno;277
Papowo Biskupie;181
Czechowice-Dziedzice;148
Porąbka;148
Uchanie;265
Strzelce Krajeńskie;883
Działoszyn;295
Przasnysz;461
Namysłów;712
Nowa Dęba;322
Czeremcha;229
Trzebnica;499
Przyrów;185
Gościeradów;366
Szczaniec;308
Pokrzywnica;291
Łubniany;300
Czchów;158
Lipnica Murowana;132
Stawiski;410
Turośl;506
Piątnica;550
Wizna;334
Czarny Bór;162
Szczawno-Zdrój;37
Brzeg Dolny;242
Abramów;195
Zabór;239
Szprotawa;592
Dobryszyce;116
Masłowice;276
Kobiele Wielkie;239
Kamieńsk;240
Gózd;176
Popielów;433
Trzebinia;245
Gręboszów;110
Karlino;409
Bierzwnik;683
Choszczno;692
Niegosławice;358
Kotuń;367
Łużna;122
Krasnopol;427
Stoszowice;268
Gromadka;699
Ludwin;277
Rzeczenica;772
Złoczew;298
Kowiesy;204
Nowy Kawęczyn;257
Wodynie;281
Ustrzyki Dolne;1010
Jeleniewo;321
Wysokie Mazowieckie;419
Waganiec;147
Brzozie;245
Dziwnów;109
Golczewo;521
Stanin;387
Trzebieszów;330
Parczew;343
Pszczółki;138
Przywidz;368
Lębork;57
Wicko;631
Pątnów;282
Szydłowiec;321
Brzostek;260
Wiązownica;530
Słomniki;250
Zambrów;751
Łomża;527
Sicienko;484
Nowy Tomyśl;496
Jawor;47
Raba Wyżna;192
Pieszyce;165
Krosno;93
Chocz;185
Krzyżanowice;159
Narewka;810
Paczków;187
Lipnica Wielka;151
Bogatynia;339
Mirsk;473
Leśna;269
Jaraczewo;332
Białystok;253
Prószków;278
Świlcza;243
Pieńsk;281
Gdynia;387
Iwierzyce;142
Kościan;550
Tworóg;281
Pierzchnica;238
Opole;366
Przechlewo;686
Mirosławiec;559
Kramsk;336
Stare Miasto;244
Ogrodzieniec;196
Radzionków;32
Jędrzejów;524
Słupia (Jędrzejowska);255
Kazimierza Wielka;317
Smyków;146
Sitkówka-Nowiny;104
Ostrowiec Świętokrzyski;107
Sadowie;185
Łączna;140
Bliżyn;328
Tolkmicko;572
Markusy;295
Srokowo;515
Wieliczki;356
Dobre Miasto;697
Mikołajki;661
Budry;457
Morąg;825
Małdyty;514
Dubeninki;516
Dźwierzuty;694
Jedwabno;805
Wilczęta;405
Wieleń;1177
Trzcianka;1029
Kraszewice;187
Mikstat;218
Stęszew;461
Luboń;37
Wronki;828
Buk;240
Ostrowite;268
Słupca;23
Brudzew;278
Książ Wielkopolski;382
Lądek;256
Kotlin;214
Kleczew;281
Perzów;186
Kępno;302
Granowo;184
Sosnowiec;209
Czempiń;365
Koszęcin;309
Wręczyca Wielka;356
Mikołów;185
Toszek;234
Gaszowice;48
Pszczyna;393
Miedźna;118
Nędza;127
Ożarowice;108
Radlin;30
Łazy;303
Węgierska Górka;172
Kroczyce;260
Izabelin;159
Ożarów Mazowiecki;175
Liw;413
Brzyska;101
Kołaczyce;133
Słaboszów;168
Rogóźno;322
Karsin;475
Malbork;283
Wieluń;313
Czastary;158
Ojrzeń;300
Chełmiec;241
Korzenna;232
Skępe;463
Chrostkowo;193
Polanów;1141
Kołbaskowo;309
Komarówka Podlaska;321
Parzęczew;256
Parysów;151
Grodzisko Dolne;172
Jemielno;324
Tarnawatka;174
Susiec;409
Telatyn;238
Kępice;840
Stara Kornica;281
Maków Mazowiecki;28
Płoniawy-Bramura;346
Jaktorów;132
Chynów;329
Rabka-Zdrój;155
Mysłakowice;225
Barwice;740
Hańsk;409
Stary Brus;299
Smętowo Graniczne;229
Cegłów;227
Dębe Wielkie;182
Jakubów;213
Siennica;266
Pleśna;180
Lisia Góra;222
Kcynia;802
Nakło nad Notecią;510
Rypin;26
Skrwilno;328
Brzeżno;321
Komarów-Osada;270
Stary Dzierzgoń;508
Pomiechówek;263
Policzna;272
Ciepielów;320
Ulanów;267
Zakliczyn;269
Szerzyny;176
Poronin;184
Krotoszyce;163
Osie;572
Łobez;657
Szczerców;312
Ząbki;30
Dąbrówka;265
Klembów;206
Wołomin;145
Bircza;548
Gać;81
Brzeźnica;320
Siekierczyn;129
Lubin;104
Ścinawa;416
Wielka Nieszawka;577
Konstantynów;207
Wschowa;515
Deszczno;466
Krzyżanów;257
Łask;360
Szulborze Wielkie;113
Brańszczyk;416
Rząśnik;417
Długosiodło;416
Zabrodzie;219
Lutocin;321
Ropczyce;305
Nowy Sącz;126
Dobroszyce;336
Wąbrzeźno;22
Fabianki;198
Bogdaniec;308
Kocierzew Południowy;226
Tarczyn;273
Bielsk;316
Czarna Białostocka;510
Gródek;1037
Wasilków;302
Suraż;188
Jaworze;46
Białopole;237
Wojsławice;233
Kożuchów;473
Żarnów;330
Drobin;360
Dzierzążnia;257
Naruszewo;402
Radomyśl nad Sanem;298
Brańsk;571
Boćki;567
Wilkowice;81
Batorz;154
Janów Lubelski;393
Potok Wielki;229
Rzepin;531
Kiełczygłów;210
Pajęczno;277
Nowa Brzeźnica;322
Sochocin;310
Baboszewo;409
Nadarzyn;181
Baligród;333
Szczuczyn;291
Strzegom;366
Izbica;307
Łopiennik Górny;238
Lubniewice;355
Lubrza;201
Niemodlin;436
Drwinia;242
Żmigród;723
Wińsko;635
Ładzice;199
Pionki;43
Trzciana;99
Żegocina;79
Libiąż;128
Goniądz;943
Krypno;278
Dziadkowice;280
Garbów;242
Żagań;734
Parchowo;376
Miastko;1331
Sadkowice;291
Przesmyki;278
Radgoszcz;194
Ząbkowice Śląskie;354
Przybiernów;672
Kalisz Pomorski;1352
Puchaczów;204
Koczała;634
Rościszewo;299
Repki;408
Jabłonna Lacka;356
Brzeg;31
Kocmyrzów-Luborzyca;184
Mogilany;95
Bakałarzewo;310
Przerośl;314
Wiżajny;283
Sokoły;384
Koneck;173
Świedziebnia;268
Międzyzdroje;345
Poniatowa;198
Łaziska;252
Karczmiska;224
Opole Lubelskie;433
Somonino;311
Przodkowo;246
Jastrząb;122
Żyraków;246
Świątniki Górne;43
Dobrcz;352
Golub-Dobrzyń;510
Banie;592
Byczyna;448
Rakoniewice;540
Wołczyn;581
Chojnice;1285
Barciany;766
Ujsoły;237
Kleszczele;335
Zawoja;284
Łapsze Niżne;280
Jelenia Góra;278
Głuszyca;153
Stopnica;284
Choceń;259
Sitno;241
Radzymin;327
Krasnosielc;424
Ostrołęka;82
Rymanów;360
Jaśliska;353
Szczecin;874
Krynica Morska;331
Koluszki;374
Rzeszów;279
Wielbark;900
Pacanów;286
Lubawka;344
Konarzyny;298
Kalisz;168
Opatowiec;157
Pakosław;195
Rawicz;341
Wodzisław;407
Piekoszów;241
Połaniec;172
Koprzywnica;153
Dwikozy;190
Zawichost;183
Włoszczowa;579
Kisielice;459
Nidzica;972
Janowiec Kościelny;349
Rozogi;579
Orzysz;918
Miłomłyn;431
Świątki;426
Budzyń;559
Lubasz;455
Sieroszewice;412
Grabów nad Prosną;301
Murowana Goślina;465
Czerwonak;221
Komorniki;176
Kórnik;488
Bojanowo;314
Malanów;261
Władysławów;236
Gostyń;351
Blizanów;401
Żelazków;294
Bralin;207
Skulsk;220
Krotoszyn;645
Lipie;229
Woźniki;303
Knurów;77
Wyry;80
Suszec;173
Myszków;167
Poraj;139
Krupski Młyn;101
Niegowa;208
Węgrów;85
Kolbuszowa;376
Niwiska;210
Miechów;335
Lubień;162
Myślenice;344
Zbójno;214
Widuchowa;602
Bobolice;1052
Podedwórze;246
Krościenko Wyżne;36
Barlinek;727
Nowy Dwór Gdański;597
Puck;690
Stryków;391
Wilga;286
Jerzmanowa;173
Góra;677
Bielice;253
Warnice;254
Postomino;671
Damnica;488
Skórcz;268
Szczawin Kościelny;319
Marciszów;201
Dolice;662
Biały Bór;773
Wola Uhruska;334
Gniew;533
Morzeszczyn;256
Jasieniec;258
Mogielnica;335
Kozienice;581
Borowa;124
Padew Narodowa;162
Krasnobród;275
Grabowiec;279
Luzino;314
Dzierzgowo;390
Nowy Dwór Mazowiecki;66
Czosnów;322
Tczów;170
Prochowice;254
Sośno;447
Sępólno Krajeńskie;635
Jeżewo;418
Koszalin;298
Jasień;337
Krasiczyn;263
Stryszów;103
Wleń;217
Świecie;471
Łomazy;454
Łanięta;136
Strzelce;225
Widawa;442
Sędziejowice;285
Wodzierady;201
Piątek;333
Grabów;403
Nur;241
Karczew;198
Żuromin;341
Błażowa;241
Kłaj;146
Książki;227
Płużnica;319
Brześć Kujawski;393
Potok Górny;244
Krosno Odrzańskie;565
Żyrardów;32
Radom;270
Kamień;213
Twardogóra;418
Prabuty;535
Domaniów;224
Izbica Kujawska;330
Jaworzno;352
Szczyrk;93
Horodło;284
Trzciel;479
Kolsko;215
Bierawa;287
Krapkowice;232
Domaszowice;278
Zagórz;336
Pysznica;334
Wyszki;503
Grębocice;317
Gaworzyce;204
Kozy;59
Mierzęcice;109
Siewierz;263
Górzyca;409
Konstantynów Łódzki;70
Baranów Sandomierski;273
Grębów;412
Olszanica;197
Chybie;72
Dzierzkowice;204
Trzydnik Duży;237
Ręczno;208
Czernice Borowe;311
Krzynowłoga Mała;467
Gorzów Śląski;365
Walim;194
Stare Bogaczowice;219
Mstów;281
Kruszyna;218
Konopiska;186
Poczesna;144
Trzebiechów;216
Gidle;280
Trzcianne;821
Czernica;205
Kąty Wrocławskie;438
Siechnice;247
Żórawina;296
Ciepłowody;190
Tychowo;1007
Krzczonów;282
Goszczanów;312
Mokobody;293
Lubsza;520
Ziębice;534
Kamieniec Ząbkowicki;242
Wysokie;252
Łęczna;169
Mochowo;371
Domaradz;128
Haczów;157
Zielonki;108
Filipów;377
Brojce;346
Trzebiatów;672
Jabłoń;254
Kolbudy;237
Suchy Dąb;232
Osjaków;254
Mokrsko;190
Nowa Sucha;224
Brochów;292
Pawłosiów;101
Laskowa;161
Czyżew;308
Szepietowo;380
Nowa Wieś Wielka;394
Wielichowo;283
Kluczbork;533
Zalewo;673
Oporów;167
Pęcław;159
Mściwojów;174
Wydminy;601
Siedliszcze;346
Jeleśnia;381
Nowy Dwór;295
Prudnik;292
Otmuchów;466
Głuchołazy;405
Bukowina Tatrzańska;288
Muszyna;301
Modliborzyce;337
Rejowiec;241
Sulików;240
Platerówka;121
Kudowa-Zdrój;84
Radoszyce;342
Opatówek;264
Nieporęt;233
Żory;155
Gołdap;931
Goleniów;1285
Łeba;56
Andrespol;59
Drawsko Pomorskie;1171
Kowary;91
Lutomiersk;330
Mniszków;292
Nowogród;251
Stary Lubotyń;274
Nowe Skalmierzyce;314
Czersk;1052
