Nazwa Gminy; Liczba Hexagonów
Sulmierzyce;196
Krzywiń;461
Popów;248
Pilchowice;160
Boronów;134
Herby;200
Czerwionka-Leszczyny;267
Imielin;62
Lędziny;77
Zawiercie;193
Roźwienica;144
Gołcza;209
Inowrocław;82
Żyrzyn;298
Nałęczów;146
Dziemiany;356
Kościerzyna;46
Stara Kiszewa;592
Lichnowy;248
Sokolniki;197
Lututów;188
Tarnowiec;139
Chorkówka;165
Miejsce Piastowe;110
Grybów;346
Łabowa;256
Łagiewniki;304
Lipno;273
Piaski;263
Mełgiew;221
Stegna;474
Ustka;644
Opinogóra Górna;355
Sońsk;384
Pilawa;178
Cieszanów;484
Lubaczów;55
Wielkie Oczy;312
Podegrodzie;136
Stary Sącz;222
Kotla;339
Malechowo;664
Ulhówek;322
Markowa;151
Ochotnica Dolna;308
Bukowno;148
Przeciszów;78
Koniusza;203
Nowe Brzesko;121
Bolków;391
Kobylanka;351
Stara Dąbrowa;321
Włodawa;552
Wyryki;510
Pelplin;386
Sieciechów;143
Głowaczów;439
Rakszawa;149
Mielec;271
Gawłuszowice;76
Radomyśl Wielki;359
Chełmek;64
Stryszawa;257
Gromnik;154
Mrocza;411
Brzuze;233
Grzmiąca;578
Szczebrzeszyn;272
Łęknica;40
Legionowo;30
Sienno;335
Jeżowe;271
Jarocin;522
Węgorzyno;735
Międzyrzec Podlaski;45
Rusiec;236
Kutno;303
Krośniewice;236
Dąbrowice;116
Olszewo-Borki;496
Troszyn;388
Ostrów Mazowiecka;706
Lipsko;305
Jadów;286
Przemyśl;95
Orły;159
Stubno;191
Kalwaria Zebrzydowska;171
Andrychów;227
Mucharz;83
Lanckorona;91
Świekatowo;178
Śliwice;488
Drelów;535
Janów Podlaski;310
Sosnówka;343
Tuczna;379
Zalesie;349
Gorzów Wielkopolski;240
Małkinia Górna;323
Osieck;165
Otwock;115
Somianka;295
Siemiątkowo;293
Tryńcza;157
Kraków;738
Malczyce;134
Udanin;276
Milicz;1110
Tarnogród;250
Tereszpol;311
Maszewo;625
Brójce;165
Radzanowo;270
Płock;218
Lubenia;122
Besko;56
Turośń Kościelna;359
Kwidzyn;557
Lubanie;173
Kowal;14
Lubień Kujawski;387
Rogowo;364
Katowice;377
Ruda-Huta;246
Dorohusk;434
Wierzbica;221
